Epoch,Events,Error
1,Train,0.14876566839714844
1,Validation,0.9680468499660492
2,Train,0.04795698548356692
2,Validation,0.8274536013603211
3,Train,0.04203492154677709
3,Validation,0.8447073042392731
4,Train,0.03805478898187478
4,Validation,0.8744690120220184
5,Train,0.033238264918327334
5,Validation,0.8126816868782043
6,Train,0.02962245773524046
6,Validation,0.7946476638317108
7,Train,0.027087822183966638
7,Validation,0.774434381723404
8,Train,0.024931929260492324
8,Validation,0.7883275985717774
9,Train,0.022997823916375636
9,Validation,0.722658222913742
10,Train,0.02085076564302047
10,Validation,0.731721019744873
11,Train,0.019506576036413512
11,Validation,0.7376818120479584
12,Train,0.0189840675642093
12,Validation,0.726841139793396
13,Train,0.018875517261524994
13,Validation,0.720752888917923
14,Train,0.018579331785440446
14,Validation,0.7112321078777313
15,Train,0.018326738166312376
15,Validation,0.7063973188400269
16,Train,0.01808348996564746
16,Validation,0.7179706811904907
17,Train,0.01779972364505132
17,Validation,0.7192192494869232
18,Train,0.017700354382395745
18,Validation,0.715896612405777
19,Train,0.01743801645934582
19,Validation,0.7040480852127076
20,Train,0.01725760903209448
20,Validation,0.7053663074970246
21,Train,0.01704085258146127
21,Validation,0.6980771780014038
22,Train,0.01708308026815454
22,Validation,0.7003779292106629
23,Train,0.016921005584299563
23,Validation,0.7022593975067138
24,Train,0.0169257076146702
24,Validation,0.7052374005317688
25,Train,0.016932949765274923
25,Validation,0.7046052575111389
26,Train,0.016847791150212288
26,Validation,0.7021441459655762
27,Train,0.016923012429227433
27,Validation,0.7047310948371888
28,Train,0.016747153270989655
28,Validation,0.7020026087760926
29,Train,0.016875833831727506
29,Validation,0.7055851817131042
30,Train,0.016813981005301078
30,Validation,0.7024084627628326
