Epoch,Events,Error
1,Train,0.41194357772668205
1,Validation,0.10533773526549339
2,Train,0.2228340541323026
2,Validation,0.08524488359689712
3,Train,0.1726069673895836
3,Validation,0.14042797163128853
4,Train,0.1415954572459062
4,Validation,0.40143856927752497
5,Train,0.11803598453601201
5,Validation,0.12226439937949181
6,Train,0.10029434897005558
6,Validation,0.3505148559808731
7,Train,0.1248768632610639
7,Validation,0.4775678917765617
8,Train,0.09327339505155881
8,Validation,0.41977319419384
9,Train,0.11209392721454302
9,Validation,0.1241486318409443
10,Train,0.07430092791716257
10,Validation,0.05558061674237251
11,Train,0.04958676919341087
11,Validation,0.0979248519986868
12,Train,0.04114727899432182
12,Validation,0.04574293494224548
13,Train,0.04007920126120249
13,Validation,0.08416955769062043
14,Train,0.040289062758286795
14,Validation,0.06044918000698089
15,Train,0.03712260685861111
15,Validation,0.12709218338131906
16,Train,0.0362567017475764
16,Validation,0.07970943488180637
17,Train,0.03206137139350176
17,Validation,0.06253744699060917
18,Train,0.033192651346325874
18,Validation,0.09789791554212571
19,Train,0.03304432798177004
19,Validation,0.157605566829443
20,Train,0.03460567140330871
20,Validation,0.06504426300525665
21,Train,0.030165560357272626
21,Validation,0.09406984746456146
22,Train,0.029688220098614694
22,Validation,0.0999470479786396
23,Train,0.02931643904497226
23,Validation,0.08444794043898582
24,Train,0.029527987415591875
24,Validation,0.1041272185742855
25,Train,0.027961859479546547
25,Validation,0.07316206842660904
26,Train,0.029065855282048383
26,Validation,0.09548586159944535
27,Train,0.0278916593020161
27,Validation,0.08363607972860336
28,Train,0.028446823172271252
28,Validation,0.09661387056112289
29,Train,0.028364500589668752
29,Validation,0.07820089757442475
30,Train,0.029298228273789088
30,Validation,0.10377248674631119
