Epoch,Events,Error
1,Train,0.471763476729393
1,Validation,0.06041533686220646
2,Train,0.20241068452596664
2,Validation,0.16202695220708846
3,Train,0.16293872147798538
3,Validation,0.13971878811717034
4,Train,0.1383200724919637
4,Validation,0.11207396760582924
5,Train,0.11987779662013054
5,Validation,0.13638298064470292
6,Train,0.09308027078708013
6,Validation,0.08955423720180988
7,Train,0.09419321144620578
7,Validation,0.0771023876965046
8,Train,0.07716394998133183
8,Validation,0.03659739997237921
9,Train,0.07758185938000679
9,Validation,0.04218981498852372
10,Train,0.06596681922674179
10,Validation,0.02220137566328049
11,Train,0.05457843579351902
11,Validation,0.028671694733202458
12,Train,0.04336014029880365
12,Validation,0.024885273445397614
13,Train,0.04148705278833707
13,Validation,0.021429360285401343
14,Train,0.03641022189209859
14,Validation,0.02230144552886486
15,Train,0.03971899182846149
15,Validation,0.01939490232616663
16,Train,0.03604510985314846
16,Validation,0.02013846319168806
17,Train,0.035019587042431036
17,Validation,0.018336918763816358
18,Train,0.03476254331568877
18,Validation,0.015214799344539643
19,Train,0.0360351516554753
19,Validation,0.016707531455904246
20,Train,0.03326894473284483
20,Validation,0.019496148359030484
21,Train,0.03354802795996269
21,Validation,0.01676009185612202
22,Train,0.030968386369446915
22,Validation,0.017428236827254296
23,Train,0.02958369751771291
23,Validation,0.016991605795919896
24,Train,0.02797138107319673
24,Validation,0.017554969247430562
25,Train,0.0279612360522151
25,Validation,0.017175458930432798
26,Train,0.027826667701204618
26,Validation,0.01680397093296051
27,Train,0.030328253780802093
27,Validation,0.01646449863910675
28,Train,0.0299523102119565
28,Validation,0.016379710659384726
29,Train,0.030016422892610233
29,Validation,0.017240028362721205
30,Train,0.030701567915578685
30,Validation,0.01659699697047472
