Epoch,Events,Error
1,Train,0.1204952792574962
1,Validation,0.8670164585113526
2,Train,0.04811076211432616
2,Validation,0.7553468883037567
3,Train,0.045873507981499036
3,Validation,0.7552775204181671
4,Train,0.043241088713208836
4,Validation,0.7460763990879059
5,Train,0.03965031802654266
5,Validation,0.7776912212371826
6,Train,0.03561618427435557
6,Validation,0.8466162979602814
7,Train,0.030552450194954874
7,Validation,0.8040791988372803
8,Train,0.027054395899176596
8,Validation,0.7657340586185455
9,Train,0.024751621671020983
9,Validation,0.7336542129516601
10,Train,0.02285564492146174
10,Validation,0.6869140446186066
11,Train,0.021401624381542205
11,Validation,0.7011090755462647
12,Train,0.02105545320858558
12,Validation,0.6962167859077454
13,Train,0.020906183247764904
13,Validation,0.6829030573368072
14,Train,0.020857576405008633
14,Validation,0.6794816195964813
15,Train,0.02061809158573548
15,Validation,0.6775059163570404
16,Train,0.02034029730906089
16,Validation,0.6838808953762054
17,Train,0.020187119456628957
17,Validation,0.6931679487228394
18,Train,0.0199018236870567
18,Validation,0.6836046993732452
19,Train,0.01980444782723983
19,Validation,0.6911673784255982
20,Train,0.01957092968126138
20,Validation,0.6531208217144012
21,Train,0.019803244931002457
21,Validation,0.6836202681064606
22,Train,0.019379917718470096
22,Validation,0.6723763525485993
23,Train,0.019293933548033236
23,Validation,0.6777634859085083
24,Train,0.019237912570436794
24,Validation,0.6771446943283081
25,Train,0.019359445199370384
25,Validation,0.6759929537773133
26,Train,0.01926485455284516
26,Validation,0.6772675096988678
27,Train,0.0191254831229647
27,Validation,0.6778031945228576
28,Train,0.019216622598469256
28,Validation,0.6763388931751251
29,Train,0.019235413707792758
29,Validation,0.6759117603302002
30,Train,0.019349342087904613
30,Validation,0.6722615420818329
