Epoch,Events,Error
1,Train,0.4386432905991872
1,Validation,0.13827822655439376
2,Train,0.23569452464580537
2,Validation,0.09357848949730396
3,Train,0.17057517071564993
3,Validation,0.12150845676660538
4,Train,0.13071388378739357
4,Validation,0.28324801474809647
5,Train,0.11060651764273643
5,Validation,0.12270017452538014
6,Train,0.09968330313762029
6,Validation,0.34537047892808914
7,Train,0.07596681925157706
7,Validation,0.05401904620230198
8,Train,0.0663530661414067
8,Validation,0.10496802181005478
9,Train,0.07347040101885796
9,Validation,0.6435241937637329
10,Train,0.06889100714276235
10,Validation,0.366020567715168
11,Train,0.03515987731516361
11,Validation,0.0863272275775671
12,Train,0.030704596390326817
12,Validation,0.054780538007616994
13,Train,0.028626909169058006
13,Validation,0.08130840733647346
14,Train,0.024863121286034583
14,Validation,0.050928734987974164
15,Train,0.02498381572465102
15,Validation,0.0825285091996193
16,Train,0.02494381070137024
16,Validation,0.05782749354839325
17,Train,0.023528211656957863
17,Validation,0.08223234191536903
18,Train,0.02223914392913381
18,Validation,0.08105032294988632
19,Train,0.020917889227469764
19,Validation,0.08638632632791995
20,Train,0.019937232322990894
20,Validation,0.10630233883857727
21,Train,0.018924811637649933
21,Validation,0.07366755232214928
22,Train,0.02096153199672699
22,Validation,0.0957986667752266
23,Train,0.019288519956171514
23,Validation,0.07768700160086155
24,Train,0.018726859769473473
24,Validation,0.08466458544135094
25,Train,0.018607971134285133
25,Validation,0.08181558549404144
26,Train,0.01812571668997407
26,Validation,0.0763892762362957
27,Train,0.016730338986963033
27,Validation,0.07706915624439717
28,Train,0.019349189351002376
28,Validation,0.08086294420063496
29,Train,0.018593009499212106
29,Validation,0.07674808278679848
30,Train,0.01835186822960774
30,Validation,0.07387533001601695
