Epoch,Events,Error
1,Train,0.14742352900405725
1,Validation,0.8944845199584961
2,Train,0.04864133025209109
2,Validation,0.7760113716125489
3,Train,0.04552577982346217
3,Validation,0.7686893939971924
4,Train,0.04220851883292198
4,Validation,0.7892584860324859
5,Train,0.03853218890726566
5,Validation,0.8317199110984802
6,Train,0.03326841319600741
6,Validation,0.8528248906135559
7,Train,0.028722262879212698
7,Validation,0.7355333745479584
8,Train,0.026436287040511767
8,Validation,0.7125714838504791
9,Train,0.024645513296127318
9,Validation,0.7517260551452637
10,Train,0.02317214583357175
10,Validation,0.6760621428489685
11,Train,0.021801652138431868
11,Validation,0.7014691531658173
12,Train,0.021548502519726752
12,Validation,0.7003450155258178
13,Train,0.021295119014879068
13,Validation,0.7078005909919739
14,Train,0.02126772825916608
14,Validation,0.7067061960697174
15,Train,0.02093166032185157
15,Validation,0.7018673956394196
16,Train,0.02077981848269701
16,Validation,0.6945661008358002
17,Train,0.02055879347026348
17,Validation,0.6860039353370666
18,Train,0.020559823823471865
18,Validation,0.6922189116477966
19,Train,0.020244666499396165
19,Validation,0.6836958885192871
20,Train,0.02021091530720393
20,Validation,0.6877747178077698
21,Train,0.019969308686753114
21,Validation,0.6857462108135224
22,Train,0.01994248100866874
22,Validation,0.6860829830169678
23,Train,0.019877308607101442
23,Validation,0.6818493604660034
24,Train,0.019941691619654495
24,Validation,0.6857811391353608
25,Train,0.01989912906040748
25,Validation,0.6829436540603637
26,Train,0.01996133625507355
26,Validation,0.6836705565452575
27,Train,0.01996736917644739
27,Validation,0.6848110914230346
28,Train,0.019805000287791093
28,Validation,0.6850138962268829
29,Train,0.019895596305529277
29,Validation,0.6846205830574036
30,Train,0.01975790342936913
30,Validation,0.6879788756370544
