Epoch,Events,Error
1,Train,0.3595731700770557
1,Validation,0.26590179093182087
2,Train,0.1970652537420392
2,Validation,0.20248146913945675
3,Train,0.16813965840265155
3,Validation,0.14814207516610622
4,Train,0.13234085752628744
4,Validation,0.11547147110104561
5,Train,0.09350263816304505
5,Validation,0.09346778504550457
6,Train,0.07952400483191013
6,Validation,0.08318066410720348
7,Train,0.09386993187945336
7,Validation,0.11036135256290436
8,Train,0.07893688045442104
8,Validation,0.13162231352180243
9,Train,0.06208295212127268
9,Validation,0.0787546169012785
10,Train,0.049770327867008746
10,Validation,0.0774636771529913
11,Train,0.035524434002581984
11,Validation,0.02882208861410618
12,Train,0.03529803320998326
12,Validation,0.02642148593440652
13,Train,0.03647784370696172
13,Validation,0.03604820277541876
14,Train,0.02992831845767796
14,Validation,0.030355693539604545
15,Train,0.03727245656773448
15,Validation,0.03612815495580435
16,Train,0.028589164197910577
16,Validation,0.023762538796290755
17,Train,0.029283376352395862
17,Validation,0.023480367846786976
18,Train,0.029125174740329385
18,Validation,0.026076497975736856
19,Train,0.030522119952365756
19,Validation,0.0361337773501873
20,Train,0.02713849733117968
20,Validation,0.023603842593729496
21,Train,0.02804490295238793
21,Validation,0.0217578646261245
22,Train,0.02675298403482884
22,Validation,0.020755925215780735
23,Train,0.025351282150950283
23,Validation,0.02075523603707552
24,Train,0.024222018604632467
24,Validation,0.02045212732627988
25,Train,0.026210022275336087
25,Validation,0.021096679149195552
26,Train,0.02476166293490678
26,Validation,0.020608924562111497
27,Train,0.025211545289494097
27,Validation,0.020700993947684765
28,Train,0.025949718488845974
28,Validation,0.020716333063319325
29,Train,0.02601696940837428
29,Validation,0.02035994129255414
30,Train,0.026163264992646873
30,Validation,0.020800170488655567
