Epoch,Events,Error
1,Train,0.5139788955450058
1,Validation,0.04669886715710163
2,Train,0.2322950338323911
2,Validation,0.1370771646499634
3,Train,0.17831470320622125
3,Validation,0.10399721674621105
4,Train,0.14692520548899968
4,Validation,0.3272807337343693
5,Train,0.12080955157677332
5,Validation,0.28381284028291703
6,Train,0.0894218623638153
6,Validation,0.07714278884232044
7,Train,0.07523496796687444
7,Validation,0.04253652403131127
8,Train,0.09493989621599515
8,Validation,0.06930371103808283
9,Train,0.07188653498888016
9,Validation,0.04336563562974334
10,Train,0.0663419108837843
10,Validation,0.02269712956622243
11,Train,0.04807978495955467
11,Validation,0.02249094294384122
12,Train,0.04704200439155102
12,Validation,0.017736999318003654
13,Train,0.0372601402302583
13,Validation,0.016796100419014692
14,Train,0.03870206717401743
14,Validation,0.014600365981459617
15,Train,0.03895180777957042
15,Validation,0.019469210226088763
16,Train,0.03346875086426735
16,Validation,0.016478248685598374
17,Train,0.033360130215684576
17,Validation,0.016728920210152865
18,Train,0.030646701343357563
18,Validation,0.012907285708934069
19,Train,0.03586866290618976
19,Validation,0.014401989988982677
20,Train,0.042978535902996856
20,Validation,0.011413476150482892
21,Train,0.03166826112816731
21,Validation,0.012789323274046183
22,Train,0.027188778544465702
22,Validation,0.012095631007105112
23,Train,0.024062564906974632
23,Validation,0.012651790771633387
24,Train,0.028190152409176033
24,Validation,0.013139064237475396
25,Train,0.025599641290803752
25,Validation,0.012652585376054048
26,Train,0.027747660502791406
26,Validation,0.012871844787150621
27,Train,0.027109246763090292
27,Validation,0.012521823402494192
28,Train,0.026280294979612033
28,Validation,0.012414783332496881
29,Train,0.025280584084490933
29,Validation,0.012159478664398194
30,Train,0.02543110071370999
30,Validation,0.012478063721209765
