Epoch,Events,Error
1,Train,0.4281476391479373
1,Validation,0.2946804203093052
2,Train,0.22981869196519256
2,Validation,0.199344202876091
3,Train,0.18549330020323396
3,Validation,0.17786052078008652
4,Train,0.1625100295059383
4,Validation,0.15777700394392014
5,Train,0.14002914866432548
5,Validation,0.14605912379920483
6,Train,0.1274086432531476
6,Validation,0.16027566604316235
7,Train,0.11677821539342403
7,Validation,0.14325588196516037
8,Train,0.08990130387246609
8,Validation,0.12175090238451958
9,Train,0.07201089686714113
9,Validation,0.08686187397688627
10,Train,0.07592917094007134
10,Validation,0.07437053229659796
11,Train,0.05690896522719413
11,Validation,0.047810802701860666
12,Train,0.04483428073581308
12,Validation,0.04470670549198985
13,Train,0.042448422173038125
13,Validation,0.04899223195388913
14,Train,0.03722523455508053
14,Validation,0.03757982747629285
15,Train,0.03359215206000954
15,Validation,0.027047289768233895
16,Train,0.035918123612646013
16,Validation,0.08462701085954905
17,Train,0.03456131392158568
17,Validation,0.03976808115839958
18,Train,0.036778736975975335
18,Validation,0.06044087512418628
19,Train,0.03329590318026021
19,Validation,0.026006115367636085
20,Train,0.029482389974873513
20,Validation,0.05334398942068219
21,Train,0.029644726309925318
21,Validation,0.02240626816637814
22,Train,0.02723286848049611
22,Validation,0.02141779474914074
23,Train,0.027176632720511407
23,Validation,0.021760859759524465
24,Train,0.025781209638807923
24,Validation,0.022152459947392344
25,Train,0.027188666921574622
25,Validation,0.021494081011042
26,Train,0.02585931186331436
26,Validation,0.0218547354452312
27,Train,0.0259942144039087
27,Validation,0.02117477753199637
28,Train,0.026495591620914638
28,Validation,0.02409585053101182
29,Train,0.026090662402566522
29,Validation,0.021070766262710094
30,Train,0.025686636741738766
30,Validation,0.021561909932643175
