Epoch,Events,Error
1,Train,0.3975204066373408
1,Validation,0.24342888966202736
2,Train,0.20987757807597518
2,Validation,0.19934252835810184
3,Train,0.1919362172484398
3,Validation,0.17979301512241364
4,Train,0.1699890410527587
4,Validation,0.15388458408415318
5,Train,0.1431053087580949
5,Validation,0.16013824567198753
6,Train,0.12081277393735945
6,Validation,0.9147039279341698
7,Train,0.09976382390595973
7,Validation,0.13211174681782722
8,Train,0.09446680475957692
8,Validation,0.31688500568270683
9,Train,0.08401549584232271
9,Validation,0.5088422708213329
10,Train,0.07295740325935185
10,Validation,0.14597874507308006
11,Train,0.05298495257738978
11,Validation,0.06722905579954386
12,Train,0.04870701942127198
12,Validation,0.16788412258028984
13,Train,0.045924821868538857
13,Validation,0.04413102986291051
14,Train,0.04432412562891841
14,Validation,0.056178863160312176
15,Train,0.04207072232384235
15,Validation,0.060653414111584425
16,Train,0.04217409424018115
16,Validation,0.04966202424839139
17,Train,0.040324024274013937
17,Validation,0.04109385097399354
18,Train,0.03857682039961219
18,Validation,0.06340026669204235
19,Train,0.03818851872347295
19,Validation,0.07590391021221876
20,Train,0.04117302258964628
20,Validation,0.07822779193520546
21,Train,0.035943070775829256
21,Validation,0.04713389649987221
22,Train,0.037178530532401055
22,Validation,0.035464304499328136
23,Train,0.03550320735666901
23,Validation,0.03283814527094364
24,Train,0.03583860507933423
24,Validation,0.034461161121726036
25,Train,0.03436486766440794
25,Validation,0.03315122425556183
26,Train,0.03479752386920154
26,Validation,0.034203871386125684
27,Train,0.03591073042480275
27,Validation,0.04233675356954336
28,Train,0.036566391529049724
28,Validation,0.06982031231746078
29,Train,0.03459469374502078
29,Validation,0.03183974977582693
30,Train,0.03608356765471399
30,Validation,0.036133956629782915
