Epoch,Events,Error
1,Train,0.3461494849486785
2,Train,0.13598133542320945
3,Train,0.09988775524226103
4,Train,0.07749884074384517
5,Train,0.06663316285068338
6,Train,0.05718641186302358
7,Train,0.04575222849168561
8,Train,0.05072990886189721
9,Train,0.03648363643071868
10,Train,0.03262953698973764
11,Train,0.022785949300635943
12,Train,0.013650394789874554
13,Train,0.012136965058743954
14,Train,0.013413220728662882
15,Train,0.013338355618444356
16,Train,0.011872967070137913
17,Train,0.013466587120836431
18,Train,0.011875094905156982
19,Train,0.010879077254371209
20,Train,0.011248178212818774
21,Train,0.011494853982532567
22,Train,0.011689324414526874
23,Train,0.009432722746648572
24,Train,0.010988869348710234
25,Train,0.010980998487635093
26,Train,0.009650851252742789
27,Train,0.00985443214462562
28,Train,0.010012232918630947
29,Train,0.010451831287619742
30,Train,0.01122231829742139
