Epoch,Events,Error
1,Train,0.3226294696331024
2,Train,0.13519254462285477
3,Train,0.10686894668774172
4,Train,0.07296406057747927
5,Train,0.06707085404883731
6,Train,0.05200661088932644
7,Train,0.05186991129409183
8,Train,0.046976011314175344
9,Train,0.03852870775894685
10,Train,0.03775753392414613
11,Train,0.022031328268349172
12,Train,0.02016627553173087
13,Train,0.020496738888323308
14,Train,0.018609742549332706
15,Train,0.01890426401726224
16,Train,0.0184526796198704
17,Train,0.017449212226678026
18,Train,0.01863296575505625
19,Train,0.018254405395551163
20,Train,0.017244688286022707
21,Train,0.016025963239371777
22,Train,0.0164525770497593
23,Train,0.016709844598715957
24,Train,0.015613041784275661
25,Train,0.016019439900463277
26,Train,0.016963041912425647
27,Train,0.017000348442657427
28,Train,0.015955807217820125
29,Train,0.016904428431933575
30,Train,0.015393642285330729
