Epoch,Events,Error
1,Train,0.45733505284244363
1,Validation,0.3015241988680579
2,Train,0.22846220501444556
2,Validation,0.19344439696181903
3,Train,0.16462699137628078
3,Validation,0.14882686056874014
4,Train,0.12638457170264286
4,Validation,0.11583565243265846
5,Train,0.10892250033264811
5,Validation,0.20037612589922818
6,Train,0.09971443546766584
6,Validation,0.11136653680693019
7,Train,0.09891182793812318
7,Validation,0.2250731262293729
8,Train,0.07590803935785186
8,Validation,0.08513164655728774
9,Train,0.07214785646647215
9,Validation,0.170262797312303
10,Train,0.0664147964086045
10,Validation,0.08135428482835944
11,Train,0.0465103236281059
11,Validation,0.03997927023605867
12,Train,0.03992584931918166
12,Validation,0.045349054377187385
13,Train,0.036331561732698574
13,Validation,0.07422768934206529
14,Train,0.03335779829120094
14,Validation,0.028952864083376797
15,Train,0.02935236861759966
15,Validation,0.031075167215683243
16,Train,0.027448592707514763
16,Validation,0.027688610282811252
17,Train,0.0282535973766988
17,Validation,0.025380619208921085
18,Train,0.026270617138255726
18,Validation,0.022466563365676186
19,Train,0.02482219705019485
19,Validation,0.03407966227016666
20,Train,0.023418690501288933
20,Validation,0.02209173379973932
21,Train,0.021382553164254536
21,Validation,0.018038669262420048
22,Train,0.019590329040180553
22,Validation,0.017852501435713333
23,Train,0.021514086603102358
23,Validation,0.017462224784222515
24,Train,0.020724557043815203
24,Validation,0.017372471449727363
25,Train,0.020766581705009394
25,Validation,0.017274163748052986
26,Train,0.02131133962591941
26,Validation,0.016831190917979588
27,Train,0.020735507598146796
27,Validation,0.016933008181777866
28,Train,0.019548441939563913
28,Validation,0.017065536061471157
29,Train,0.019016446101225236
29,Validation,0.016689121215180916
30,Train,0.019342375263063746
30,Validation,0.016561916182664307
