Epoch,Events,Error
1,Train,0.4139959236437624
1,Validation,0.273332343860106
2,Train,0.2077462954277342
2,Validation,0.18845655430446973
3,Train,0.15045824206688188
3,Validation,0.14174950055100702
4,Train,0.11897668276320804
4,Validation,0.11808026920665395
5,Train,0.1036418407139453
5,Validation,0.1038379662416198
6,Train,0.09187060763890093
6,Validation,0.13100443238561804
7,Train,0.08346617204899137
7,Validation,0.08625890179113908
8,Train,0.07057782533493909
8,Validation,0.07248499718579379
9,Train,0.06783755038949577
9,Validation,0.12277215041897514
10,Train,0.06223975985564969
10,Validation,0.09511098130182787
11,Train,0.046967639587819576
11,Validation,0.04397612674669786
12,Train,0.04245970652184703
12,Validation,0.04175282235849987
13,Train,0.04068762377243151
13,Validation,0.04214233532547951
14,Train,0.03855947159569372
14,Validation,0.04321669380773197
15,Train,0.03703753336925398
15,Validation,0.03575652871619572
16,Train,0.03692125469784845
16,Validation,0.03625515374270352
17,Train,0.03541007845408537
17,Validation,0.03393547270785679
18,Train,0.034414572175592184
18,Validation,0.03596023978157477
19,Train,0.03343838770789179
19,Validation,0.031754559921947395
20,Train,0.03417375675317916
20,Validation,0.03776932135224342
21,Train,0.03273097662763162
21,Validation,0.030035525052384895
22,Train,0.03055397484620864
22,Validation,0.030240509828383274
23,Train,0.03142708070068197
23,Validation,0.029714037240906196
24,Train,0.030784307005391878
24,Validation,0.029792310839349575
25,Train,0.030632792379368435
25,Validation,0.02941953441636129
26,Train,0.030566738283430987
26,Validation,0.02938062206588008
27,Train,0.03137099704789845
27,Validation,0.029238051650199024
28,Train,0.029960155952721834
28,Validation,0.02937035211785273
29,Train,0.030619953420351852
29,Validation,0.029046002267436546
30,Train,0.02992764830758626
30,Validation,0.029052395712245594
