Epoch,Events,Error
1,Train,0.421672001819719
1,Validation,0.23864308406006207
2,Train,0.19473526322028853
2,Validation,0.1576756008646705
3,Train,0.13821734234013341
3,Validation,0.12173691324212334
4,Train,0.11768980679864233
4,Validation,0.12040614133531397
5,Train,0.10212469795210795
5,Validation,0.0969874919815497
6,Train,0.09250760400159792
6,Validation,0.07853535020893271
7,Train,0.07971832012249665
7,Validation,0.09500392390923067
8,Train,0.07865021149204536
8,Validation,0.10343083129687743
9,Train,0.06762986274605448
9,Validation,0.06526765091852708
10,Train,0.05706208961253816
10,Validation,0.10551347177137028
11,Train,0.04750629607588053
11,Validation,0.040729770944877106
12,Train,0.04170112227174369
12,Validation,0.038549217649481514
13,Train,0.04072289160368117
13,Validation,0.036686178974129936
14,Train,0.04041759356517683
14,Validation,0.041558489203453064
15,Train,0.04011950582604517
15,Validation,0.040961081331426445
16,Train,0.03906807176430117
16,Validation,0.0393800213932991
17,Train,0.03899103013629263
17,Validation,0.03510391813787547
18,Train,0.038924575952643696
18,Validation,0.04124138436534188
19,Train,0.038301156664436516
19,Validation,0.03811331025578759
20,Train,0.037095769731835884
20,Validation,0.03493605147708546
21,Train,0.03647359579124234
21,Validation,0.0339428379454396
22,Train,0.03593759221786803
22,Validation,0.03367050584744324
23,Train,0.036535605703565205
23,Validation,0.03390358862551776
24,Train,0.035932318307459354
24,Validation,0.03367928517135707
25,Train,0.03555803068659522
25,Validation,0.033562848513776604
26,Train,0.03616690593348308
26,Validation,0.0337776511230252
27,Train,0.03642558526586403
27,Validation,0.03395784036679701
28,Train,0.03577939310873097
28,Validation,0.03380690718239004
29,Train,0.03649590520018881
29,Validation,0.03356592323292385
30,Train,0.03601385018026287
30,Validation,0.03402086076411334
