Epoch,Events,Error
1,Train,0.31560100411826914
1,Validation,0.20082179524681784
2,Train,0.16175611621954225
2,Validation,0.14118712598627264
3,Train,0.12230400910431688
3,Validation,0.1164343160661784
4,Train,0.1095804235135967
4,Validation,0.10823890228163112
5,Train,0.09648060476915403
5,Validation,0.11161227050152692
6,Train,0.08843364871361038
6,Validation,0.16471669213338333
7,Train,0.08262274363501505
7,Validation,0.07537341185591438
8,Train,0.07701451797038317
8,Validation,0.09117581492120569
9,Train,0.07652851117944176
9,Validation,0.13542911816727032
10,Train,0.0656043981963938
10,Validation,0.16826276887546887
11,Train,0.05480524059385061
11,Validation,0.05095619030974128
12,Train,0.05038627254014665
12,Validation,0.05076824501156807
13,Train,0.04976591865786097
13,Validation,0.0491078065877611
14,Train,0.04889441290023652
14,Validation,0.04613355005329305
15,Train,0.04819410810755058
15,Validation,0.04564095661044121
16,Train,0.047018946995112026
16,Validation,0.045849472622979774
17,Train,0.04773995627395131
17,Validation,0.0468869073824449
18,Train,0.047188384204425594
18,Validation,0.04564162716269493
19,Train,0.04690129496157169
19,Validation,0.044800817627798424
20,Train,0.046232252381742
20,Validation,0.04564829102971337
21,Train,0.04626004617999901
21,Validation,0.04350873116742481
22,Train,0.045409192839129406
22,Validation,0.04329833388328552
23,Train,0.04528045273301276
23,Validation,0.0433971912346103
24,Train,0.04512764572758566
24,Validation,0.0432791757312688
25,Train,0.04582250931046226
25,Validation,0.04329175400463017
26,Train,0.04613027594644915
26,Validation,0.043461075221950356
27,Train,0.04556469670073553
27,Validation,0.04325271194631403
28,Train,0.045446399937976494
28,Validation,0.043071814220060005
29,Train,0.0459883174943653
29,Validation,0.04327575659210032
30,Train,0.045675428584218025
30,Validation,0.043176695704460144
