Epoch,Events,Error
1,Train,0.34437320686199446
1,Validation,0.22971127520908008
2,Train,0.18375669724561952
2,Validation,0.15631910345771097
3,Train,0.13365285826677625
3,Validation,0.12308277054266496
4,Train,0.11235758086497133
4,Validation,0.1521563855084506
5,Train,0.1006964785470204
5,Validation,0.10345735062252391
6,Train,0.08915433202954856
6,Validation,0.08250855654478073
7,Train,0.07796896630051461
7,Validation,0.24584154784679413
8,Train,0.06730780191719532
8,Validation,0.08879660340872678
9,Train,0.06632272729819472
9,Validation,0.09484757483005524
10,Train,0.06480808073485439
10,Validation,0.06644046442075209
11,Train,0.05157225528223948
11,Validation,0.04492648149078542
12,Train,0.04608374952592633
12,Validation,0.04660129174590111
13,Train,0.044148167510601605
13,Validation,0.04658838293769143
14,Train,0.04370120210065083
14,Validation,0.04402371462095867
15,Train,0.04252555390650576
15,Validation,0.04018023982644081
16,Train,0.041838756085119465
16,Validation,0.04202253337610851
17,Train,0.042745171284133736
17,Validation,0.0400110242719
18,Train,0.04102723198858174
18,Validation,0.039382183077660476
19,Train,0.04113297994163903
19,Validation,0.04014446078376337
20,Train,0.04121408484537493
20,Validation,0.03928480229594491
21,Train,0.03989317285066301
21,Validation,0.03851555965163491
22,Train,0.04003940827467225
22,Validation,0.03848594596440142
23,Train,0.0397955101322044
23,Validation,0.03851120546460152
24,Train,0.039920495907691395
24,Validation,0.03845139829949899
25,Train,0.04038460146297108
25,Validation,0.03843139179728248
26,Train,0.039547838185998524
26,Validation,0.03846892477436499
27,Train,0.0398195380852981
27,Validation,0.038594909350980415
28,Train,0.0402073154903271
28,Validation,0.038306446237997574
29,Train,0.04032476585019718
29,Validation,0.03851707753810016
30,Train,0.03974590873853727
30,Validation,0.03846061873165044
