Epoch,Events,Error
1,Train,0.3171008618717844
1,Validation,0.2076043798164888
2,Train,0.17083234543150122
2,Validation,0.17173337665471164
3,Train,0.13296022452414036
3,Validation,0.12178579108281569
4,Train,0.11520078016275709
4,Validation,0.11876513334837827
5,Train,0.10919070938094096
5,Validation,0.10482284968549554
6,Train,0.09290887313810262
6,Validation,0.09240001169118015
7,Train,0.08054768581959335
7,Validation,0.3123561441898346
8,Train,0.08272948116064072
8,Validation,0.10175908356904984
9,Train,0.07821129067716273
9,Validation,0.08310295235026967
10,Train,0.07535129523074086
10,Validation,0.11493882672353224
11,Train,0.06170463189482689
11,Validation,0.05663975091143088
12,Train,0.05602710499343547
12,Validation,0.052967888387766754
13,Train,0.0542268543927507
13,Validation,0.05326633358543569
14,Train,0.053352998484942044
14,Validation,0.051125197248025375
15,Train,0.05208548962731253
15,Validation,0.04994796961545944
16,Train,0.052362705072896046
16,Validation,0.05150816183198582
17,Train,0.05118019184605642
17,Validation,0.04863083938306028
18,Train,0.04978784317658706
18,Validation,0.04858529499985955
19,Train,0.05000843522562222
19,Validation,0.04763998937877742
20,Train,0.04901715147901665
20,Validation,0.04729004847732457
21,Train,0.04793889210982756
21,Validation,0.04673774608156898
22,Train,0.04857962417670272
22,Validation,0.04690044508738951
23,Train,0.04889996849339117
23,Validation,0.04658516056158326
24,Train,0.0480452985079451
24,Validation,0.046792838383804665
25,Train,0.047990567135539924
25,Validation,0.04660235108299689
26,Train,0.04842957727272402
26,Validation,0.04669428955424915
27,Train,0.04788104859604077
27,Validation,0.0465127747844566
28,Train,0.04793102201074362
28,Validation,0.04635369269685312
29,Train,0.04757095831023021
29,Validation,0.04651331901550293
30,Train,0.04770746200599454
30,Validation,0.046454691412774
