NoG,Events,Fold,Error
2,Train,Kidney,0.029334996140709047
2,Validation,Kidney,0.013959514110216073
3,Train,Kidney,0.011517872029033146
3,Validation,Kidney,0.005104490489299808
4,Train,Kidney,0.006098637026489565
4,Validation,Kidney,0.0027737124556941645
5,Train,Kidney,0.0034748296939620844
5,Validation,Kidney,0.001905846259822803
6,Train,Kidney,0.0032102636576287055
6,Validation,Kidney,0.0029311503416725566
7,Train,Kidney,0.0032845863177882214
7,Validation,Kidney,0.001400506789130824
8,Train,Kidney,0.0027746157965769895
8,Validation,Kidney,0.0016984037689066359
9,Train,Kidney,0.0029912954012520218
9,Validation,Kidney,0.001979873382619449
10,Train,Kidney,0.002754665077909043
10,Validation,Kidney,0.0010062935263184564
