Epoch,Events,Error
1,Train,0.2849679060280323
2,Train,0.12861019931733608
3,Train,0.0712911638431251
4,Train,0.05989166563376784
5,Train,0.04751710537821054
6,Train,0.05104554663412273
7,Train,0.05066411215811968
8,Train,0.03647603872232139
9,Train,0.029890721570700406
10,Train,0.028929091105237604
11,Train,0.024245376419276
12,Train,0.018818723945878447
13,Train,0.01786256965715438
14,Train,0.018180509400554
15,Train,0.01487496958579868
16,Train,0.01484996050130576
17,Train,0.015896045113913716
18,Train,0.015371975838206708
19,Train,0.015303488052450121
20,Train,0.0130042411852628
21,Train,0.012647636234760284
22,Train,0.012680195365101099
23,Train,0.012417525053024292
24,Train,0.01248331954702735
25,Train,0.01277628168463707
26,Train,0.013676374452188611
27,Train,0.013355149305425584
28,Train,0.012646183860488236
29,Train,0.011828835750930012
30,Train,0.012461040588095783
