Epoch,Events,Error
1,Train,0.3079247295856476
2,Train,0.12621725127100944
3,Train,0.0823695003055036
4,Train,0.06875898391008377
5,Train,0.06033463226631284
6,Train,0.05643372349441052
7,Train,0.044832681817933914
8,Train,0.04439965826459229
9,Train,0.031243108911439776
10,Train,0.03341737692244351
11,Train,0.020698220026679336
12,Train,0.018676532339304684
13,Train,0.01593854234088212
14,Train,0.015562272700481116
15,Train,0.014598758425563574
16,Train,0.014740860182791948
17,Train,0.015215658722445369
18,Train,0.016043740045279264
19,Train,0.014387270016595722
20,Train,0.0138481043279171
21,Train,0.013228041143156588
22,Train,0.01325514642521739
23,Train,0.0129034019773826
24,Train,0.013066431670449675
25,Train,0.013797608762979507
26,Train,0.013407978299073874
27,Train,0.013381679030135273
28,Train,0.014011394139379263
29,Train,0.01340506598353386
30,Train,0.01326111601665616
