Epoch,Events,Error
1,Train,0.2962489305910739
1,Validation,0.1305770758878101
2,Train,0.08653777253560045
2,Validation,0.09779097749428316
3,Train,0.06746307320215485
3,Validation,0.05380099774761633
4,Train,0.050566719844937325
4,Validation,0.06668880073861642
5,Train,0.04531033709645271
5,Validation,0.09851508723063902
6,Train,0.03804045750505545
6,Validation,0.04591709273782643
7,Train,0.031654927752573385
7,Validation,0.03109383329071782
8,Train,0.028054944874549455
8,Validation,0.18356352096254175
9,Train,0.03231566712598909
9,Validation,0.08563160489905965
10,Train,0.031226892786269837
10,Validation,0.013449309901757673
11,Train,0.0159152569884265
11,Validation,0.01442835403775627
12,Train,0.014594753547994927
12,Validation,0.009942874735729261
13,Train,0.012497513427991758
13,Validation,0.008474830665032972
14,Train,0.012705308766188946
14,Validation,0.00761382794007659
15,Train,0.012779170636680316
15,Validation,0.008812602778727358
16,Train,0.011005397293378006
16,Validation,0.006145078307864341
17,Train,0.010864331323484128
17,Validation,0.0066245025108483705
18,Train,0.010724307186054912
18,Validation,0.006287537345832045
19,Train,0.0081476829840209
19,Validation,0.008712585846131498
20,Train,0.012091538572514599
20,Validation,0.011677609925920313
21,Train,0.011273859481496567
21,Validation,0.005068725736981089
22,Train,0.008511997727592561
22,Validation,0.004760126117616892
23,Train,0.00895488087553531
23,Validation,0.004961786749349399
24,Train,0.007904414796609093
24,Validation,0.004718261262909932
25,Train,0.007105729764920066
25,Validation,0.004562699447639964
26,Train,0.008175707919607785
26,Validation,0.004669291390614076
27,Train,0.009652105096558278
27,Validation,0.004604800688949498
28,Train,0.00850804221012037
28,Validation,0.0046586948446929455
29,Train,0.009464284288696945
29,Validation,0.004604839762164788
30,Train,0.008713082727891478
30,Validation,0.005018187221139669
