Epoch,Events,Error
1,Train,0.3393316715955734
1,Validation,0.24103728495538235
2,Train,0.14837783901020885
2,Validation,0.25781488604843616
3,Train,0.09849775000475347
3,Validation,0.09951881691813469
4,Train,0.07183760055340827
4,Validation,0.3583878390491009
5,Train,0.0646276882616803
5,Validation,0.16840653121471405
6,Train,0.06324239005334675
6,Validation,0.06968467961996794
7,Train,0.054231592919677496
7,Validation,0.07916456460952759
8,Train,0.04461103648645803
8,Validation,0.08533181063830853
9,Train,0.03732432518154383
9,Validation,0.05362415499985218
10,Train,0.03926993871573359
10,Validation,0.04941163584589958
11,Train,0.026753960963105783
11,Validation,0.015087661682628095
12,Train,0.0192330835852772
12,Validation,0.013583928579464555
13,Train,0.01687516027595848
13,Validation,0.011953557026572526
14,Train,0.017715423338813707
14,Validation,0.011583095882087946
15,Train,0.015109994244994596
15,Validation,0.011198851861990988
16,Train,0.01608402590500191
16,Validation,0.013542545610107481
17,Train,0.01467492722440511
17,Validation,0.011759845074266195
18,Train,0.0148812917759642
18,Validation,0.010102762142196298
19,Train,0.014029677404323593
19,Validation,0.009567591245286167
20,Train,0.01243383262772113
20,Validation,0.00909271591808647
21,Train,0.013250980555312708
21,Validation,0.009262302774004638
22,Train,0.013542396161938086
22,Validation,0.009267095942050219
23,Train,0.013251864758785814
23,Validation,0.009471359313465655
24,Train,0.012468193308450282
24,Validation,0.009329882333986461
25,Train,0.012125644338084385
25,Validation,0.008864324539899826
26,Train,0.012444277585018426
26,Validation,0.009661349351517856
27,Train,0.011970288353040814
27,Validation,0.009317874792031944
28,Train,0.012654388294322416
28,Validation,0.008778777439147234
29,Train,0.012260091345524415
29,Validation,0.009102309355512261
30,Train,0.011643787613138556
30,Validation,0.008973533171229064
