Epoch,Events,Error
1,Train,0.269761537625031
1,Validation,0.12757959081368012
2,Train,0.0860889024016532
2,Validation,0.08707494830543344
3,Train,0.06198673864657229
3,Validation,0.04595121910626238
4,Train,0.0434056572954763
4,Validation,0.09296333112499931
5,Train,0.03887990489602089
5,Validation,0.05570121211084453
6,Train,0.0362346039830961
6,Validation,0.03945395519787615
7,Train,0.031055094018070536
7,Validation,0.04590677639300173
8,Train,0.023509601258080114
8,Validation,0.0527557141401551
9,Train,0.01965856331993233
9,Validation,0.02257581122896888
10,Train,0.015854724936864593
10,Validation,0.0632986541498791
11,Train,0.012840628168884326
11,Validation,0.006308775352822108
12,Train,0.010813407906839117
12,Validation,0.006070658564567566
13,Train,0.009545288895341482
13,Validation,0.0059457873417572546
14,Train,0.010356404024853626
14,Validation,0.0056243411434645
15,Train,0.009999452232891186
15,Validation,0.005998848217793487
16,Train,0.010432038953612473
16,Validation,0.005475674417208542
17,Train,0.008740874547088011
17,Validation,0.00585879051041874
18,Train,0.010254079232585023
18,Validation,0.00528391446410255
19,Train,0.008552620928226546
19,Validation,0.0053369149735028095
20,Train,0.008247366958213124
20,Validation,0.005540887528861111
21,Train,0.00793462297455831
21,Validation,0.00491224191236225
22,Train,0.009617838521742007
22,Validation,0.004943764302879572
23,Train,0.00898588019084524
23,Validation,0.004907576494257559
24,Train,0.00937666841359301
24,Validation,0.004980599507689476
25,Train,0.008155272204682908
25,Validation,0.005289211784574119
26,Train,0.007655882424759594
26,Validation,0.004889022135599093
27,Train,0.008136311270804568
27,Validation,0.005355128595097499
28,Train,0.007790946666235951
28,Validation,0.004867907232520255
29,Train,0.009933596360497177
29,Validation,0.004870319611985575
30,Train,0.008482149537568066
30,Validation,0.004847037775272673
