Fold,NoG,Events,Error
0,11,Train,0.05648529203608632
0,11,Validation,0.052977049723267555
1,11,Train,0.06380070035811514
1,11,Validation,0.06501875212416053
2,11,Train,0.05219957651570439
2,11,Validation,0.04808369558304548
3,11,Train,0.05089259205851704
3,11,Validation,0.04902038164436817
4,11,Train,0.04710661619901657
4,11,Validation,0.04420236311852932
