Epoch,Events,Error
1,Train,0.4172253687866032
1,Validation,0.2573881018906832
2,Train,0.21338509256020188
2,Validation,0.21017943136394024
3,Train,0.1995846345089376
3,Validation,0.200122382491827
4,Train,0.19092202465981245
4,Validation,0.1987620498985052
5,Train,0.18854599446058273
5,Validation,0.1964346393942833
6,Train,0.18267461843788624
6,Validation,0.17600637301802635
7,Train,0.156056665815413
7,Validation,0.14352908916771412
8,Train,0.12850678362883627
8,Validation,0.18838843517005444
9,Train,0.1097674232441932
9,Validation,0.16807424277067184
10,Train,0.09308149386197329
10,Validation,0.13112427853047848
11,Train,0.07649351074360311
11,Validation,0.1161340931430459
12,Train,0.07348748575896025
12,Validation,0.0851008053869009
13,Train,0.07123582274653018
13,Validation,0.07973765581846237
14,Train,0.06929242075420916
14,Validation,0.0661186259239912
15,Train,0.06909638980869204
15,Validation,0.0643157665617764
16,Train,0.06687106331810355
16,Validation,0.1012213584035635
17,Train,0.06515940348617733
17,Validation,0.1617076601833105
18,Train,0.06514694390352815
18,Validation,0.06993649248033762
19,Train,0.06319540785625577
19,Validation,0.06740773189812899
20,Train,0.06272944307420403
20,Validation,0.05980982584878802
21,Train,0.061880863388068974
21,Validation,0.057932380586862564
22,Train,0.06165096675977111
22,Validation,0.05680294940248132
23,Train,0.06112754496280104
23,Validation,0.05618866020813584
24,Train,0.06129123526625335
24,Validation,0.06126137124374509
25,Train,0.061315828235819936
25,Validation,0.05912485672160983
26,Train,0.060928943334147334
26,Validation,0.05586664890870452
27,Train,0.06054571957793087
27,Validation,0.057630840223282576
28,Train,0.06104017060715705
28,Validation,0.05597149068489671
29,Train,0.0605404837988317
29,Validation,0.057752953842282295
30,Train,0.06048718560487032
30,Validation,0.05594818061217666
