Epoch,Events,Error
1,Train,0.5579085648059845
1,Validation,0.47821251551310223
2,Train,0.35331283261378604
2,Validation,0.3127695421377818
3,Train,0.23396428798635802
3,Validation,0.24029333392779031
4,Train,0.17959140365322432
4,Validation,0.18729953467845917
5,Train,0.14708387851715088
5,Validation,0.15524320801099142
6,Train,0.1212521381676197
6,Validation,0.12737896790107092
7,Train,0.10961487454672654
7,Validation,0.11381728698809941
8,Train,0.09868695649007957
8,Validation,0.10485464334487915
9,Train,0.0882954690605402
9,Validation,0.09719656159480412
10,Train,0.08288145996630192
10,Validation,0.09308152397473653
11,Train,0.0729257067044576
11,Validation,0.07978544632593791
12,Train,0.0707778347035249
12,Validation,0.07598023861646652
13,Train,0.06882074475288391
13,Validation,0.07431601981321971
14,Train,0.0677477978169918
14,Validation,0.07277313371499379
15,Train,0.06658847598979871
15,Validation,0.07083980490763982
16,Train,0.06584195016572873
16,Validation,0.07001446187496185
17,Train,0.06506446438531081
17,Validation,0.06970424701770146
18,Train,0.06295586004853249
18,Validation,0.06743806600570679
19,Train,0.061764683574438095
19,Validation,0.06708758572737376
20,Train,0.060924540584286056
20,Validation,0.06616273025671641
21,Train,0.06043471644322077
21,Validation,0.06480775773525238
22,Train,0.059974013827741146
22,Validation,0.06456583365797997
23,Train,0.05999683029949665
23,Validation,0.06458468486865361
24,Train,0.05938436153034369
24,Validation,0.0642616997162501
25,Train,0.059632135865588985
25,Validation,0.0642034796377023
26,Train,0.05971217962602774
26,Validation,0.06396585702896118
27,Train,0.05956977978348732
27,Validation,0.06386947880188625
28,Train,0.06018477243681749
28,Validation,0.06369137018918991
29,Train,0.05879783040533463
29,Validation,0.06371197601159413
30,Train,0.05958435870707035
30,Validation,0.06350690498948097
