Epoch,Events,Error
1,Train,0.47614098340272903
1,Validation,0.34764103094736737
2,Train,0.2466740943491459
2,Validation,0.23515446484088898
3,Train,0.18307464818159738
3,Validation,0.1785818487405777
4,Train,0.14944631978869438
4,Validation,0.1442853957414627
5,Train,0.13005503391226134
5,Validation,0.14300782978534698
6,Train,0.12003810703754425
6,Validation,0.11670258392890294
7,Train,0.1112326222161452
7,Validation,0.10953972985347112
8,Train,0.10247294418513775
8,Validation,0.10049022485812505
9,Train,0.09639847713212173
9,Validation,0.09679561108350754
10,Train,0.09228494577109814
10,Validation,0.09927814453840256
11,Train,0.08554499285916488
11,Validation,0.08369509875774384
12,Train,0.08246979800363381
12,Validation,0.08208165317773819
13,Train,0.0813100915402174
13,Validation,0.080281895895799
14,Train,0.0799722367276748
14,Validation,0.0786533107360204
15,Train,0.07917182954649131
15,Validation,0.07821549971898396
16,Train,0.07817259120444457
16,Validation,0.0765819400548935
17,Train,0.07724117487668991
17,Validation,0.07627201328674953
18,Train,0.07601749400297801
18,Validation,0.07486751427253087
19,Train,0.07488574894766013
19,Validation,0.07368658731381099
20,Train,0.07361885346472263
20,Validation,0.07246623188257217
21,Train,0.07286491803824902
21,Validation,0.0720708929002285
22,Train,0.07279251826306184
22,Validation,0.0718291699886322
23,Train,0.0726505909115076
23,Validation,0.07181781282027562
24,Train,0.07273259572684765
24,Validation,0.07150897135337193
25,Train,0.07223948525885741
25,Validation,0.07149569938580196
26,Train,0.07205795310437679
26,Validation,0.07132746775945027
27,Train,0.0721227303147316
27,Validation,0.07122085243463516
28,Train,0.07192380664249261
28,Validation,0.0712254469593366
29,Train,0.0717982289691766
29,Validation,0.07108976195255916
30,Train,0.07157920176784198
30,Validation,0.07092245171467464
