Epoch,Events,Error
1,Train,0.5430661787589391
1,Validation,0.46395641565322876
2,Train,0.34640520066022873
2,Validation,0.30910809834798175
3,Train,0.24538797264297804
3,Validation,0.24451452990372977
4,Train,0.18825632706284523
4,Validation,0.19231970608234406
5,Train,0.15756958102186522
5,Validation,0.15478520095348358
6,Train,0.1345845858256022
6,Validation,0.13187052309513092
7,Train,0.11985799732307593
7,Validation,0.12915122509002686
8,Train,0.10791267827153206
8,Validation,0.10878714670737584
9,Train,0.10031062985459964
9,Validation,0.09917375445365906
10,Train,0.0929594070961078
10,Validation,0.09592426816622417
11,Train,0.08851152968903382
11,Validation,0.08742777506510417
12,Train,0.08529124098519485
12,Validation,0.08413911859194438
13,Train,0.08409530421098073
13,Validation,0.08249046901861827
14,Train,0.08310180467863877
14,Validation,0.08130797992149989
15,Train,0.08219163057704766
15,Validation,0.0801395649711291
16,Train,0.08133598044514656
16,Validation,0.07909492403268814
17,Train,0.08007181497911613
17,Validation,0.07838935901721318
18,Train,0.07921771394709747
18,Validation,0.07734747727711995
19,Train,0.07808892987668514
19,Validation,0.07690887898206711
20,Train,0.07767930440604687
20,Validation,0.0764948104818662
21,Train,0.07691818848252296
21,Validation,0.07508584856987
22,Train,0.0768430798004071
22,Validation,0.07492609818776448
23,Train,0.07648303049306075
23,Validation,0.07483468949794769
24,Train,0.07670930338402589
24,Validation,0.07473678390185039
25,Train,0.07652962021529675
25,Validation,0.0746467982729276
26,Train,0.07640710286796093
26,Validation,0.07458857943614323
27,Train,0.07625503527621429
27,Validation,0.07453032334645589
28,Train,0.07615502489109834
28,Validation,0.07440964380900066
29,Train,0.07625245240827401
29,Validation,0.07435663292805354
30,Train,0.07605422536532085
30,Validation,0.07430963218212128
