Epoch,Events,Error
1,Train,0.33024618219245566
2,Train,0.12353258349678733
3,Train,0.09079834683374925
4,Train,0.06588669419288636
5,Train,0.05919809490442276
6,Train,0.04085451015694575
7,Train,0.036668627505952664
8,Train,0.035586340386759154
9,Train,0.027632157623090528
10,Train,0.029993751882152125
11,Train,0.01598932333290577
12,Train,0.013055377233434808
13,Train,0.013576513207094236
14,Train,0.0117806325243278
15,Train,0.013428505840287968
16,Train,0.012681248199871995
17,Train,0.013448523645373908
18,Train,0.011263558234680783
19,Train,0.010644433850591833
20,Train,0.011078273454173044
21,Train,0.012233124783431942
22,Train,0.011133530185642568
23,Train,0.010644275373355909
24,Train,0.010303444652394815
25,Train,0.010807421464811671
26,Train,0.010910004292699423
27,Train,0.01047566207125783
28,Train,0.011258195526897908
29,Train,0.01057577830823985
30,Train,0.010552073168483648
