Epoch,Events,Error
1,Train,0.5401892637213072
1,Validation,0.41009315848350525
2,Train,0.29531289264559746
2,Validation,0.2678724229335785
3,Train,0.1925154340763887
3,Validation,0.19146098693211874
4,Train,0.1568655620018641
4,Validation,0.1535807947317759
5,Train,0.13368434396882853
5,Validation,0.13236885269482931
6,Train,0.12051319765547912
6,Validation,0.1184204841653506
7,Train,0.11190978561838467
7,Validation,0.11365647365649541
8,Train,0.10385497100651264
8,Validation,0.12389577925205231
9,Train,0.09759937785565853
9,Validation,0.09463375558455785
10,Train,0.09114643993477027
10,Validation,0.09153203169504802
11,Train,0.08488778273264568
11,Validation,0.0835638294617335
12,Train,0.0828093842913707
12,Validation,0.08114561190207799
13,Train,0.0813194289803505
13,Validation,0.08004874487717946
14,Train,0.08084034112592538
14,Validation,0.07943803320328395
15,Train,0.07983568931619327
15,Validation,0.08042962849140167
16,Train,0.07883815901974837
16,Validation,0.0776444524526596
17,Train,0.07816875477631886
17,Validation,0.07722524056831996
18,Train,0.0767675619572401
18,Validation,0.07617893069982529
19,Train,0.076221094156305
19,Validation,0.0761082371075948
20,Train,0.07579622479776542
20,Validation,0.0745035782456398
21,Train,0.0754392184317112
21,Validation,0.07369824995597203
22,Train,0.07473418613274892
22,Validation,0.07369790226221085
23,Train,0.07447888267536958
23,Validation,0.07351190100113551
24,Train,0.0742537546902895
24,Validation,0.073393980662028
25,Train,0.07396332298715909
25,Validation,0.07324996342261632
26,Train,0.07381606722871463
26,Validation,0.0731159249941508
27,Train,0.07390079088509083
27,Validation,0.07326011856396993
28,Train,0.07371683542927106
28,Validation,0.07313647866249084
29,Train,0.07387108542025089
29,Validation,0.07294917354981105
30,Train,0.07362545530001323
30,Validation,0.07305258512496948
