Epoch,Events,Error
1,Train,0.35025197733193636
1,Validation,0.21136923134326935
2,Train,0.14145873137749732
2,Validation,0.17043734900653362
3,Train,0.09520981670357287
3,Validation,0.08553459588438272
4,Train,0.06539613695349544
4,Validation,0.06293375650420785
5,Train,0.04798507399391383
5,Validation,0.07697890792042017
6,Train,0.04870238760486245
6,Validation,0.16098990105092525
7,Train,0.038564270827919245
7,Validation,0.024671417428180575
8,Train,0.03791691240621731
8,Validation,0.027406636625528336
9,Train,0.032851516851224005
9,Validation,0.02277947892434895
10,Train,0.029117212572600693
10,Validation,0.021073125768452883
11,Train,0.01713777970871888
11,Validation,0.012445727013982832
12,Train,0.013946952152764425
12,Validation,0.010991781018674374
13,Train,0.01468587393173948
13,Validation,0.011601892183534801
14,Train,0.012036418571369722
14,Validation,0.009072431246750057
15,Train,0.012967028887942433
15,Validation,0.00977356277871877
16,Train,0.013716350018512458
16,Validation,0.012633808190003037
17,Train,0.013344726903596893
17,Validation,0.012718283804133534
18,Train,0.013429405255010352
18,Validation,0.012387859052978456
19,Train,0.012079058622475713
19,Validation,0.0075193269294686615
20,Train,0.013859474551281892
20,Validation,0.009870472829788923
21,Train,0.010866479511605576
21,Validation,0.007312674657441676
22,Train,0.010813349828822538
22,Validation,0.007416673470288515
23,Train,0.010317566586309113
23,Validation,0.007186490285675973
24,Train,0.01152080473548267
24,Validation,0.007187697454355657
25,Train,0.010653646953869611
25,Validation,0.007788654591422528
26,Train,0.010026531032053754
26,Validation,0.007075233617797494
27,Train,0.011329193046549335
27,Validation,0.007142393849790096
28,Train,0.012692937409156002
28,Validation,0.007057994545903057
29,Train,0.010408376358100213
29,Validation,0.0071247388841584325
30,Train,0.011826733185444027
30,Validation,0.007849582005292177
