Epoch,Events,Error
1,Train,0.36542269540950656
1,Validation,0.2252787910401821
2,Train,0.14703173493035138
2,Validation,0.1225383160635829
3,Train,0.09433035715483129
3,Validation,0.1123017966747284
4,Train,0.06110221182461828
4,Validation,0.07029894273728132
5,Train,0.05432478594593704
5,Validation,0.05976415378972888
6,Train,0.0560421742266044
6,Validation,0.04961248440667987
7,Train,0.04428888746770099
7,Validation,0.07366031128913164
8,Train,0.03865655168192461
8,Validation,0.037339485716074705
9,Train,0.028114044049289078
9,Validation,0.19125092588365078
10,Train,0.0355637155007571
10,Validation,0.023340783081948757
11,Train,0.019621927029220387
11,Validation,0.010284507763572037
12,Train,0.015181483729975298
12,Validation,0.016062341630458832
13,Train,0.014310904574813321
13,Validation,0.009134058491326869
14,Train,0.01600760963629
14,Validation,0.010905754519626498
15,Train,0.013346324500162154
15,Validation,0.009101423318497837
16,Train,0.014567571051884443
16,Validation,0.008774979156441987
17,Train,0.013589631940703839
17,Validation,0.00981250056065619
18,Train,0.012482252350309864
18,Validation,0.007851836155168712
19,Train,0.01190811351989396
19,Validation,0.01770418812520802
20,Train,0.013330476736882702
20,Validation,0.010958162019960582
21,Train,0.012449310641386546
21,Validation,0.008088559086900204
22,Train,0.011485872164485045
22,Validation,0.00781274022301659
23,Train,0.010950883297482505
23,Validation,0.007614073343575001
24,Train,0.011292338342173025
24,Validation,0.007466212671715766
25,Train,0.011881299928063527
25,Validation,0.007978169887792319
26,Train,0.011548677226528525
26,Validation,0.00771970022469759
27,Train,0.011407037236494943
27,Validation,0.007440825633239001
28,Train,0.011341280944179744
28,Validation,0.007711287646088749
29,Train,0.010902637935942039
29,Validation,0.007395160500891507
30,Train,0.011179849621839821
30,Validation,0.007733126811217517
