NoG,Events,Val_g,Error
2,Train,0.95,0.034271733425557616
2,Validation,0.95,0.5168014260438772
3,Train,0.95,0.03160706326365471
3,Validation,0.95,0.48456554917188793
4,Train,0.95,0.028306843377649785
4,Validation,0.95,0.5396856940709628
5,Train,0.95,0.02623566884547472
5,Validation,0.95,0.3856207590836745
6,Train,0.95,0.01228145234286785
6,Validation,0.95,0.41074276199707616
7,Train,0.95,0.024853264205157755
7,Validation,0.95,0.509674622462346
8,Train,0.95,0.013234344236552715
8,Validation,0.95,0.5637810184405401
9,Train,0.95,0.028133443109691143
9,Validation,0.95,0.48961790249897885
10,Train,0.95,0.030047894418239594
10,Validation,0.95,0.5003515046376449
11,Train,0.95,0.02920605644583702
11,Validation,0.95,0.577078259908236
12,Train,0.95,0.011842804457992316
12,Validation,0.95,0.5477830263284537
