NoG,Events,Val_g,Error
2,Train,0.55,0.06225114651024342
2,Validation,0.55,0.024155000690370798
3,Train,0.55,0.08150272227823735
3,Validation,0.55,0.022081000515474722
4,Train,0.55,0.11590882793068885
4,Validation,0.55,0.015922381112781856
5,Train,0.55,0.032663927152752875
5,Validation,0.55,0.02648634551307903
6,Train,0.55,0.028358776085078717
6,Validation,0.55,0.007019466487690806
7,Train,0.55,0.02736282516270876
7,Validation,0.55,0.0065722221222061375
8,Train,0.55,0.044749372974038124
8,Validation,0.55,0.015413883966035567
9,Train,0.55,0.034449795447289946
9,Validation,0.55,0.032730991181989126
10,Train,0.55,0.05772726684808731
10,Validation,0.55,0.010214231048639003
11,Train,0.55,0.07450990676879883
11,Validation,0.55,0.009464060028011981
12,Train,0.55,0.05547959662973881
12,Validation,0.55,0.008851118242511382
