NoG,Events,Val_g,Error
2,Train,0.65,0.050453430116176604
2,Validation,0.65,0.016565846888205178
3,Train,0.65,0.11585641801357269
3,Validation,0.65,0.015429332422522398
4,Train,0.65,0.036391232796013355
4,Validation,0.65,0.013775233098735603
5,Train,0.65,0.03315564054995775
5,Validation,0.65,0.019014899753249034
6,Train,0.65,0.033416549824178216
6,Validation,0.65,0.01766221998528076
7,Train,0.65,0.02869301028549671
7,Validation,0.65,0.012214811769529032
8,Train,0.65,0.03420843258500099
8,Validation,0.65,0.018533827692198638
9,Train,0.65,0.039349228329956534
9,Validation,0.65,0.020048882368987855
10,Train,0.65,0.04057189702987671
10,Validation,0.65,0.018590842937835708
11,Train,0.65,0.1448223678767681
11,Validation,0.65,0.014640166567495236
12,Train,0.65,0.05276356540620327
12,Validation,0.65,0.02016979525797069
